FID,X,Y,Mean_H,Std_H,Mean_Mean_Slope,Std_Mean_Slope,Max_Max_Slope,Mean_Slope_Std,Mean_Curvature,Upper_Mean_Slope,Lower_Mean_Slope,Inflection_Count,Max_Curvature,Std_Curvature,Mean_Slope_deg_x_C,C_over_Gamma_Mean_H,tan_Phi_over_tan_Mean_Slope,Mean_Slope_x_Gamma,Phi_over_Mean_Slope,Mean_Max_Slope_x_C,Gamma_Mean_H_sin_Mean_Slope,C_over_Mean_Profile_L_Gamma,tan_Phi_over_Mean_Slope_Std,Upper_Slope_x_C,Phi_over_Gamma_over_Mean_H,Curvature_x_C_over_Gamma,Min_FoS
0,1696914.588,3948127.347,93.3333,45.6971,12.8203,3.6947,36.6978,9.9465,-0.0199,16.7935,6.4584,8.3333,0.0479,0.0492,576.9149,0.0214,2.0491,288.4575,1.95,1651.4022,465.9785,0.0045,0.0469,755.7075,0.0119,-0.0397,
1,1694626.866,3948056.215,91.3333,37.3482,10.6753,1.7277,23.9052,5.7465,0.0071,9.2721,9.6962,11,0.0077,0.0005,480.3886,0.0219,2.4737,240.1943,2.3419,1075.7355,380.6744,0.0034,0.0811,417.2461,0.0122,0.0141,
2,1696556.25,3947915.75,47,11.3431,7.339,1.1878,30.8378,7.9685,-0.0015,7.4352,2.2747,5.6667,0.0004,0.0025,330.2567,0.0426,3.6205,165.1283,3.4064,1387.7024,135.0855,0.0054,0.0585,334.5834,0.0236,-0.003,
3,1696351.782,3947899.215,99,8.8318,14.0324,2.4596,44.1616,9.9165,0.0126,8.4651,14.5751,13,0.0152,0.0027,631.4597,0.0202,1.8658,315.7298,1.7816,1987.2741,540.1045,0.0029,0.047,380.9275,0.0112,0.0252,
4,1697100.193,3947900.005,160,16.3095,11.213,2.0785,31.7581,7.8092,-0.0039,13.4252,7.888,22,0.0071,0.0081,504.5838,0.0125,2.3522,252.2919,2.2296,1429.1133,700.0433,0.002,0.0597,604.1362,0.0069,-0.0079,
5,1697081.372,3947657.507,76,19.8662,12.3895,2.5292,32.7086,9.2211,0.0507,9.8896,9.8955,5.3333,0.0998,0.035,557.5257,0.0263,2.1228,278.7629,2.0178,1471.8889,366.8902,0.0056,0.0506,445.0302,0.0146,0.1014,
6,1694750.838,3947643.097,181.3333,26.3987,11.657,0.6833,36.651,7.874,-0.0029,13.8467,10.5775,26.3333,-0.0002,0.0027,524.5635,0.011,2.2603,262.2818,2.1446,1649.2957,824.3713,0.0016,0.0592,623.1026,0.0061,-0.0057,
7,1695602.727,3947555.682,100,43.0581,13.594,1.406,33.4614,7.1394,-0.0023,13.8988,12.5307,9,0.0228,0.0199,611.7315,0.02,1.9284,305.8657,1.839,1505.7645,528.842,0.0042,0.0653,625.4458,0.0111,-0.0045,
8,1697451.039,3947836.205,56.6667,14.9741,9.4514,0.681,25.5299,6.7758,0.0144,12.6032,8.047,12,0.0166,0.003,425.3117,0.0353,2.8011,212.6559,2.6451,1148.8444,209.3683,0.0032,0.0688,567.1457,0.0196,0.0287,
9,1694101.03,3947676.576,95.3333,24.513,10.8318,0.9042,34.652,7.0151,0.0048,9.1848,11.1987,15.3333,0.0236,0.0134,487.4311,0.021,2.4371,243.7155,2.308,1559.3387,403.1023,0.0026,0.0665,413.3143,0.0117,0.0096,
