iter	Passed	Remaining
0	150	29966
1	154	15255
2	159	1048433	162	796344	164	642055	165	533666	166	460377	168	404088	169	360099	170	3248110	172	2957111	173	2725112	175	2521113	176	2347
14	177	2193
15	179	2059
16	180	1943
17	182	1841
18	183	1747
19	184	1659
20	185	1581
21	187	1514
22	188	1448
23	190	1393
24	191	1337225	192	1289
26	194	1243
27	195	1199
28	196	1158229	197	1121
30	199	1087
31	200	1052
32	201	1023333	203	993434	205	967
35	206	942
36	207	916
37	208	890
38	210	867
39	211	845
40	212	824
41	213	804242	214	784343	215	764444	217	744545	218	734646	219	714747	221	704848	223	684949	224	675050	225	655151	227	645252	228	6353553	238	654554	239	655555	240	656	56	242	65757	235	575858	236	565959	238	556060	239	546161	241	536262	243	526363	244	516464	245	506565	247	506666	248	4967	244	475
68	246	467
69	247	460
70	249	452
71	250	445
72	252	438
73	253	431
74	254	424
75	256	417
76	76	270	477	77	271	478	78	272	479	79	274	480	262	386
81	263	379
82	82	278	383	83	279	384	84	280	385	85	282	386	86	283	387	87	284	388	88	285	389	274	335
90	276	331
91	277	325
92	278	320
93	280	316
94	281	311
95	95	295	396	96	297	397	285	297
98	287	292
99	288	288
100	290	284
101	291	280
102	293	276
103	295	272
104	296	268
105	298	264
106	299	260
107	300	256
108	301	251
109	302	247
110	304	244
111	306	240
112	307	237
113	309	233
114	310	229
115	311	225
116	313	222
117	314	218
118	316	215
119	317	211
120	319	208
121	320	205
122	322	202
123	324	199
124	326	195
125	327	192
126	328	188
127	330	185
128	330	182
129	332	178
130	333	175
131	334	172
132	336	169
133	337	166
134	339	163
135	340	160
136	341	157
137	342	153
138	344	151
139	345	148
140	346	145
141	348	142
142	349	139
143	351	136
144	352	133
145	354	130
146	356	128
147	358	125
148	359	123
149	360	120
150	362	117
151	363	114
152	365	112
153	366	109
154	367	106
155	369	104
156	370	101
157	371	98
158	372	96
159	373	93
160	375	90
161	376	88
162	378	85
163	379	83
164	381	80
165	382	78
166	384	76
167	385	73
168	386	70
169	387	68
170	388	65
171	389	63
172	390	60
173	391	58
174	393	56
175	395	53
176	396	51
177	397	49
178	399	46
179	400	44
180	401	42
181	402	39
182	404	37
183	405	35
184	406	32
185	407	30
186	409	28
187	410	26
188	411	23
189	413	21
190	414	19
191	415	17
192	416	15
193	417	12
194	418	10
195	419	8
196	419	6
197	420	4
198	421	2
199	421	0
1	0
