iter	RMSE
0	1.022446586
1	1.002993489
2	0.9855775518
3	0.9666082296
4	0.9507967342
5	0.9354362078
6	0.9211605096
7	0.9058374669
8	0.8895061893
9	0.8763979274
10	0.8623313413
11	0.8504268006
12	0.8397320453
13	0.8257775217
14	0.8170882303
15	0.8055857454
16	0.7931533608
17	0.7795239742
18	0.7712178431
19	0.7594104938
20	0.7484664921
21	0.7371335897
22	0.7273023521
23	0.7201233061
24	0.7106591025
25	0.7020998726
26	0.6936885391
27	0.6865356226
28	0.6800383739
29	0.6745945289
30	0.6669494546
31	0.6601948404
32	0.6509668546
33	0.6459223293
34	0.6393902869
35	0.6335445699
36	0.6281387837
37	0.6224389346
38	0.616142367
39	0.6090670585
40	0.6051141567
41	0.6013427694
42	0.5962357847
43	0.5920768278
44	0.5881216227
45	0.5842356916
46	0.580447348
47	0.5772968011
48	0.5725165154
49	0.5676860876
50	0.564800454
51	0.5608937702
52	0.5566629191
53	0.5534768464
54	0.5486739004
55	0.5453195166
56	0.5407926124
57	0.5365574408
58	0.5324286123
59	0.5273485757
60	0.5229303616
61	0.5185831939
62	0.5156975179
63	0.5133875564
64	0.5104818301
65	0.5075620546
66	0.504634263
67	0.5027336526
68	0.4982062597
69	0.4955521731
70	0.4916958455
71	0.4888984392
72	0.4855475495
73	0.4812242289
74	0.4780309367
75	0.4732287123
76	0.4719353005
77	0.4700071291
78	0.4669756815
79	0.4657405415
80	0.4635428625
81	0.4621188788
82	0.4599638764
83	0.4592297695
84	0.4573905941
85	0.4544374053
86	0.4516257795
87	0.4497046981
88	0.4481286752
89	0.4441195436
90	0.4422593863
91	0.4409150171
92	0.4379111134
93	0.4338629032
94	0.4319484482
95	0.42885424
96	0.4283657371
97	0.4257639863
98	0.4244140349
99	0.4216017524
100	0.4207234208
101	0.4180581401
102	0.4162772052
103	0.4133237866
104	0.4108282885
105	0.4079584552
106	0.4052408258
107	0.4036263481
108	0.3997639575
109	0.3983968349
110	0.3963171277
111	0.3939859105
112	0.3913979024
113	0.3894664387
114	0.3871152135
115	0.3830735949
116	0.3811598281
117	0.3770999438
118	0.3749194108
119	0.3730465686
120	0.3724089303
121	0.3699362983
122	0.3653955818
123	0.3640336818
124	0.3630819542
125	0.3615723612
126	0.3602287467
127	0.3588272757
128	0.3576304024
129	0.3563528918
130	0.3539956334
131	0.3533474642
132	0.3514185466
133	0.3491149671
134	0.3468708591
135	0.3444381367
136	0.3433415656
137	0.3407224266
138	0.3382768804
139	0.3350448443
140	0.3335796831
141	0.3325918514
142	0.3304811044
143	0.3272875173
144	0.3260982966
145	0.3245669698
146	0.3210506252
147	0.3202735325
148	0.3187210301
149	0.3158882899
